autores;data de apresentação e ementa
Autor: Jair Bolsonaro - PSL/RJ.;Data de apresentação: 27/4/2018Ementa: Sugere a adoção de medidas necessárias para que seja garantido o direito a horário especial, sem necessidade de compensação, aos Militares das Forças Armadas que tenham cônjuge, filho ou dependente com deficiência de qualquer natureza.
Autores: Delegado Francischini - PSL/PR,Jair Bolsonaro - PSL/RJ,Eduardo Bolsonaro - PSL/SP.;Data de apresentação: 4/7/2018Ementa: Altera a Lei n.º 10.826, de 22 de dezembro de 2003, que dispõe sobre registro, posse e comercialização de armas de fogo e munição, sobre o Sistema Nacional de Armas - Sinarm, define crimes e dá outras providências. Explicação: Trata de porte de arma para vigilantes das empresas de segurança privada e de transporte de valores.
Autor: Jair Bolsonaro - PP/RJ.;Data de apresentação: 19/4/2006Ementa: Dá nova redação ao art. 1º e seu parágrafo único, da Lei Complementar nº 78, de 30 de dezembro de 1993, que disciplina a fixação do número de Deputados, nos termos do art. 45, § 1º, da Constituição Federal. Explicação: Garante 50% ( cinqüenta por cento) das vagas para Deputados Federais às populações negras e pardas.
Autor: Jair Bolsonaro - PP/RJ e outros.;Data de apresentação: 26/1/2006Ementa: Contra a apreciação conclusiva pela Comissão de Constituição e Justiça e de Cidadania sobre o Projeto de  Lei nº 2.654 de 2003.
Autor: Jair Bolsonaro - PP/RJ.;Data de apresentação: 21/9/2005Ementa: Solicita informações ao Senhor Ministro de Estado da Justiça sobre registro, junto ao SINARM, das armas entregues ou apreendidas e encaminhadas ao Exército Brasileiro para fins de destruição. Explicação: Ministro Márcio Thomaz Bastos.
Autor: Jair Bolsonaro - PTB/RJ.;Data de apresentação: 11/3/2004Ementa: 
Autor: Jair Bolsonaro - PTB/RJ.;Data de apresentação: 13/3/2003Ementa: Convocação de militar da reserva para esclarecimentos sobre previdência.
Autor: Jair Bolsonaro - PTB/RJ.;Data de apresentação: 12/6/2003Ementa: Solicita informações ao Senhor Ministro de Estado da Justiça sobre fiscalização de trens e eventuais apreensões de carga ilícita. Explicação: Ministro Márcio Thomaz Bastos.
Autor: Jair Bolsonaro - PPB/RJ.;"Data de apresentação: 13/9/2000Ementa: Acrescenta dispositivo à Lei nº 9.279, de 14 de maio de 1996, que regula direito e obrigações relativos à propriedade industrial. Explicação: Estabelece que se for possivel inutilizar a marca falsificada sem a destruição do produto, esse será destinado ao Programa Comunidade Solidária para doação a pessoas carentes.
"
Autor: Jair Bolsonaro - PPB/RJ.;"Data de apresentação: 18/10/2000Ementa: Concede anistia de multas aplicadas a militares com base no art. 15, inciso I, ""e"", da Lei nº 8.025, de 12 de abril de 1990. Explicação: Anistia as multas aplicadas aos militares por supostas irregularidades na ocupação de imóveis funcionais.
"
Autor: JAIR BOLSONARO - PPB/RJ.;Data de apresentação: 11/11/1998Ementa: SOLICITA INFORMAÇÕES AO ESTADO - MAIOR DAS FORÇAS ARMADAS SOBRE A ESTRUTURA REMUNERÇÃO DA PENSÃO MILITAR . Explicação: (GENERAL-DE-EXERCITO BENEDITO ONOFRE BEZERRA LEONEL).
Autor: JAIR BOLSONARO - PPB/RJ.;Data de apresentação: 11/11/1998Ementa: SOLICITA INFORMAÇÕES AO MINISTÉRIO DO EXERCITO SOBRE A ESTRUTURA REMUNERATORIA DA PENSÃO MILITAR . Explicação: MINISTRO ZENILDO ZOROASTRO DE LUCENA).
Autor: Jair Bolsonaro - PPB/RJ.;"Data de apresentação: 6/8/1996Ementa: Altera a redação de dispositivos da Lei nº 8.989, de 24 de fevereiro de 1995, que ""dispõe sobre isenção do Imposto sobre Produtos Industrializados (IPI) na aquisição de automóveis para utilização no transporte autônomo de passageiros, bem como por pessoas portadoras de deficiência física e aos destinados ao transporte escolar, e dá outras providências"". Explicação: INCLUINDO AS COOPERATIVAS DE TRABALHO QUE SEJAM CONSTITUIDAS 
POR REQUISIÇÃO DE PERMISSÃO OUTORGADA PELO PODER PUBLICO, OU 
CONSTITUIDAS POR AGLUTINAÇÃO DE PERMISSIONARIOS AUTONOMOS, OU  SEJA, MOTORISTAS DE TAXIS.
"
Autor: JAIR BOLSONARO - PPB/RJ.;Data de apresentação: 7/8/1996Ementa: CONCEDE ISENÇÃO DO IMPOSTO SOBRE PRODUTOS INDUSTRIALIZADOS - IPI PARA OS CATALISADORES UTILIZADOS EM VEICULOS.
Autor: JAIR BOLSONARO - PPR/RJ.;Data de apresentação: 2/3/1994Ementa: DA NOVA REDAÇÃO AO PARAGRAFO SEGUNDO DO ARTIGO 101 DA LEI Nº 6.880, DE 09 DE DEZEMBRO DE 1980, QUE 'DISPÕE SOBRE O ESTATUTO DOS MILITARES'. Explicação: ESTABELECENDO QUE QUANDO FOR NECESSARIO A UTILIZAÇÃO DA QUOTA COMPULSORIA, EX OFFICIO, PARA TRANSFERENCIA PARA RESERVA REMUNERADA, DE OFICIAIS DO QUADRO DE SAUDE, SERA OBEDECIDO O CRITERIO DE IDADE E NÃO O DO TEMPO DE SERVIÇO. - PODER CONCLUSIVO DAS COMISSÕES - ARTIGO 24, INCISO II.
Autor: JAIR BOLSONARO - PPR/RJ.;Data de apresentação: 13/4/1994Ementa: DISPÕE SOBRE A PERMANENCIA DE SARGENTO DO QUADRO ESPECIAL, DE QUE TRATA O DECRETO 86289, DE 11 DE AGOSTO DE 1981, NO SERVIÇO ATIVO DO EXERCITO.
Autor: JAIR BOLSONARO - PDC/RJ.;Data de apresentação: 10/3/1992Ementa: SOLICITA INFORMAÇÕES AO MINISTERIO DO EXERCITO SOBRE O EFETIVO DA ARMA E SOBRE O PERCENTUAL DE SEU ORÇAMENTO UTILIZADO PARA COBRIR DESPESAS COM PESSOAL. Explicação: MINISTRO CARLOS TINOCO).
Autor: JAIR BOLSONARO - PDC/RJ.;Data de apresentação: 10/3/1992Ementa: SOLICITA INFORMAÇÕES AO MINISTERIO DA MARINHA SOBRE O EFETIVO DA ARMA E SOBRE O PERCENTUAL DE SEU ORÇAMENTO UTILIZADO PARA COBRIR DESPESAS COM PESSOAL. Explicação: MINISTRO MARIO CESAR FLORES).
Autor: Jair Bolsonaro - PP/RJ.;Data de apresentação: 9/11/2011Ementa: Altera a redação dos artigos 60, 69, 73 e 74, da Lei nº. 9.099, de 26 de setembro de 1995, que dispõe sobre os Juizados Especiais Cíveis e Criminais, possibilitando a composição preliminar dos danos oriundos de conflitos decorrentes dos crimes de menor potencial ofensivo pelos delegados de polícia.
Autor: Jair Bolsonaro - PP/RJ.;Data de apresentação: 23/11/2005Ementa: Parecer às Emendas de Plenário pelo Relator, Dep. Jair Bolsonaro (PP-RJ), pela Comissão de Relações Exteriores e de Defesa Nacional, que conclui pela aprovação das Emendas de nºs 1, 2, 3 e 4.
Autor: Jair Bolsonaro - PP/RJ.;Data de apresentação: 6/10/2015Ementa: Dá nova redação à MPV 693/2015
Autor: Jair Bolsonaro - PP/RJ.;Data de apresentação: 6/10/2015Ementa: Dá nova redação à MPV 693/2015
Autor: Jair Bolsonaro - PP/RJ e outros.;Data de apresentação: 4/9/2006Ementa: Contra a apreciação conclusiva pela Comissão de Constituição e Justiça e de Cidadania sobre o Projeto de  Lei nº 595 de 2003.
Autor: Jair Bolsonaro - PP/RJ.;Data de apresentação: 28/3/2006Ementa: Requer que seu voto e dos demais deputados que desejarem, por ocasião das sessões destinadas à votação de parecer do Conselho de Ética que versem sobre cassação de mandato parlamentar, seja aberto e declarado.
Autor: Jair Bolsonaro - PP/RJ e outros.;"Data de apresentação: 3/4/2006Ementa: Requer a convocação de sessão solene da Câmara dos Deputados em homenagem ao Tenente-coronel da Aeronáutica Marcos César Pontes, primeiro Astronauta brasileiro, integrante da ""Missão Centenário""."
Autor: Jair Bolsonaro - PP/RJ e outros.;Data de apresentação: 7/11/2006Ementa: Requer urgência na apreciação do PL nº 7486 de 2006
Autor: Jair Bolsonaro - PP/RJ.;Data de apresentação: 11/5/2005Ementa: Acrescenta incisos ao art. 2º da MP
Autor: Jair Bolsonaro - PP/RJ.;Data de apresentação: 26/10/2005Ementa: Acrescenta novo art. 3º à presente Medida Provisória, renumerando-se os demais.
