date,name,link,views,likes,comments,shared
2018-09-11,jupytext,https://www.linkedin.com/feed/update/urn:li:activity:6445406994387005440,5509,78,4,1
2018-09-12,overfit,https://www.linkedin.com/feed/update/urn:li:activity:6445788648628637696,802,22,2,1
2018-09-16,dateparser,https://www.linkedin.com/feed/update/urn:li:activity:6447277212818305024,808,22,0,1
2018-09-23,news,https://www.linkedin.com/feed/update/urn:li:activity:6449736578427338752,745,13,0,0
2018-09-27,30yoGNU,https://www.linkedin.com/feed/update/urn:li:activity:6451205097178361856,1129,22,2,0
2018-09-30,news,https://www.linkedin.com/feed/update/urn:li:activity:6452312758716293120,459,10,0,0
2018-10-05,perceptron,https://www.linkedin.com/feed/update/urn:li:activity:6454153123823960064,1631,42,2,2
2018-10-07,pytorch-helloworld,https://www.linkedin.com/feed/update/urn:li:activity:6454840368700682240,933,12,0,0
2018-10-09,romer-nobel,https://www.linkedin.com/feed/update/urn:li:activity:6455551818821890048,1060,24,0,2
2018-10-14,catboost,https://www.linkedin.com/feed/update/urn:li:activity:6457329642549366784,771,18,0,2
2018-10-15,3anos4all,https://www.linkedin.com/feed/update/urn:li:activity:6457741432278048768,324,7,0,0
2018-10-17,flyer-dsbd,https://www.linkedin.com/feed/update/urn:li:activity:6458421878636765185,7172,141,35,14
2018-10-22,camelot-pdf,https://www.linkedin.com/feed/update/urn:li:activity:6460101979761885184,9044,255,39,22
2018-10-25,nn-interpretable,https://www.linkedin.com/feed/update/urn:li:activity:6461188701325193216,2171,40,4,2
2018-10-29,ds-martech,https://www.linkedin.com/feed/update/urn:li:activity:6462655509253144576,5495,105,14,0
2018-11-01,tqdm,https://www.linkedin.com/feed/update/urn:li:activity:6463724418379104256,1021,44,4,0
2018-11-06,enem,https://www.linkedin.com/feed/update/urn:li:activity:6465601238141534209,1405,18,2,0
2018-11-08,fb-horizon,https://www.linkedin.com/feed/update/urn:li:activity:6466322478087180288,1181,22,0,2
2018-11-10,vaga-madeira,https://www.linkedin.com/feed/update/urn:li:activity:6466974151545540608,520,6,11,0
2018-11-12,r-vs-py,https://www.linkedin.com/feed/update/urn:li:activity:6467700762796527616,1030,16,40,0
2018-11-14,eco+py-proposal,https://www.linkedin.com/feed/update/urn:li:activity:6468440395259932673,7345,109,58,1
2018-11-19,terminal+h0,https://www.linkedin.com/feed/update/urn:li:activity:6470232202310483968,3825,42,9,0
2018-11-22,free-gpu,https://www.linkedin.com/feed/update/urn:li:activity:6471385186679484416,5442,97,15,1
2018-11-27,python-management,https://www.linkedin.com/feed/update/urn:li:activity:6473186709361213440,2144,16,12,0
2018-11-29,gpu-setup,https://www.linkedin.com/feed/update/urn:li:activity:6473878535541977088,2660,26,10,0
2018-12-05,cuda-install,https://www.linkedin.com/feed/update/urn:li:activity:6476100802577526784,1533,36,4,0
2018-12-10,few-useful-things-ml,https://www.linkedin.com/feed/update/urn:li:activity:6477933715312959489,1027,34,0,0
2018-12-12,vaga-4all,https://www.linkedin.com/feed/update/urn:li:activity:6478608669301891073,1350,24,2,0
2018-12-13,stata-jupyter-kernel,https://www.linkedin.com/feed/update/urn:li:activity:6478997602523246592,1430,29,8,0
2018-12-14,data-tau,https://www.linkedin.com/feed/update/urn:li:activity:6479432655795478528,1342,22,0,1
2018-12-17,pycm,https://www.linkedin.com/feed/update/urn:li:activity:6480442635612942336,1546,14,0,0
2018-12-19,xai,https://www.linkedin.com/feed/update/urn:li:activity:6481170491599052800,1148,28,4,1
2019-01-02,tsetling-machine,https://www.linkedin.com/feed/update/urn:li:activity:6486266346509266944,2795,21,12,3
2019-01-11,2019-top-jobs,https://www.linkedin.com/feed/update/urn:li:activity:6489507255854125056,3348,48,6,0
2019-01-14,brainjs,https://www.linkedin.com/feed/update/urn:li:activity:6490600295297478656,3041,16,0,3
2019-01-18,10yochallenge,https://www.linkedin.com/feed/update/urn:li:activity:6492063469007962112,4170,96,4,2
2019-01-24,deepmind-starcraft,https://www.linkedin.com/feed/update/urn:li:activity:6494178801562587136,2217,22,9,2
2019-01-28,intro-tensorboard,https://www.linkedin.com/feed/update/urn:li:activity:6495623753878294528,2662,37,5,3
2019-02-15,openai-controversy-nlp,https://www.linkedin.com/feed/update/urn:li:activity:6502168404357636096,1806,20,17,0
2019-03-01,mozilla-voice,https://www.linkedin.com/feed/update/urn:li:activity:6507270756433563648,1108,14,0,0
2019-03-08,upsdowns-ijulia-tinytex,https://www.linkedin.com/feed/update/urn:li:activity:6509794430382325761,741,7,0,0
2019-03-15,thispersondoesntexist,https://www.linkedin.com/feed/update/urn:li:activity:6512366366627028992,538,3,0,0
2019-03-18,planning-poker,https://www.linkedin.com/feed/update/urn:li:activity:6513440452014858240/,0,0,0,0
